G3	G1	+
G1	G2	+
G1	G3	-
G50	G3	-
G2	G3	+
G37	G4	-
G1	G4	-
G50	G4	+
G2	G4	+
G92	G4	+
G1	G5	-
G1	G6	-
G2	G6	+
G1	G7	+
G1	G8	+
G1	G9	+
G1	G10	-
G2	G10	+
G55	G10	+
G3	G10	+
G1	G11	+
G1	G12	+
G1	G13	-
G2	G13	+
G1	G14	-
G1	G15	-
G2	G15	+
G1	G16	-
G2	G17	+
G1	G18	-
G37	G18	+
G1	G19	-
G2	G20	-
G1	G20	-
G1	G21	-
G3	G22	+
G42	G22	+
G1	G23	-
G2	G23	-
G2	G24	+
G2	G25	-
G1	G26	+
G1	G27	-
G84	G27	-
G2	G27	+
G42	G27	+
G1	G28	-
G2	G28	+
G81	G29	-
G1	G29	+
G1	G30	-
G1	G31	-
G73	G32	-
G1	G32	+
G1	G33	+
G1	G34	-
G1	G35	+
G1	G36	-
G1	G38	-
G2	G39	-
G2	G40	-
G1	G41	+
G1	G43	-
G3	G43	+
G1	G44	-
G2	G45	+
G1	G45	+
G2	G46	+
G1	G47	-
G1	G48	-
G2	G48	+
G2	G49	+
G1	G51	-
G3	G52	-
G1	G53	+
G1	G54	-
G1	G56	-
G1	G57	+
G2	G58	-
G2	G59	-
G1	G60	-
G1	G61	-
G2	G62	-
G42	G63	+
G1	G63	+
G2	G64	-
G2	G65	-
G42	G65	+
G2	G66	-
G3	G67	-
G1	G68	-
G1	G69	-
G1	G70	+
G1	G71	+
G1	G72	+
G2	G74	+
G3	G75	-
G42	G76	+
G2	G77	-
G1	G78	+
G55	G79	+
G55	G80	+
G1	G82	-
G1	G83	+
G1	G85	+
G2	G86	-
G2	G87	+
G1	G88	-
G1	G89	+
G2	G90	-
G1	G91	-
G1	G93	+
G1	G94	-
G1	G95	-
G1	G96	+
G2	G97	+
G1	G98	+
G3	G99	-
G1	G100	+
